ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,_year
13464346,JH268251,05/18/2024 6:15:00 AM,118XX S LAFAYETTE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,522,5,9,53,08B,1178045,1826372,2024,05/17/2025 3:40:52 PM,41.67887532,-87.62391858,"(41.678875319, -87.623918575)",2024
13202789,JG414834,09/06/2023 2:30:00 PM,044XX S PRAIRIE AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,TRUE,215,2,3,38,5,1178781,1875697,2023,09/14/2023 3:43:09 PM,41.81421223,-87.61972721,"(41.81421223, -87.619727208)",2023
13002053,JG175555,03/06/2023 7:45:00 AM,001XX S LAVERGNE AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,1533,15,28,25,08A,1143280,1899070,2023,08/19/2023 3:40:26 PM,41.87908617,-87.74936676,"(41.879086168, -87.749366761)",2023
12997073,JG169766,03/01/2023 12:30:00 AM,003XX E SOUTH WATER ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,114,1,42,32,08B,1178979,1902046,2023,08/19/2023 3:40:26 PM,41.88651112,-87.61819604,"(41.886511115, -87.618196037)",2023
12798727,JF362218,08/11/2022 11:00:00 PM,048XX N DAMEN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,BAR OR TAVERN,FALSE,TRUE,2032,20,47,4,08B,1162133,1932238,2022,01/03/2023 3:40:27 PM,41.96972847,-87.67921264,"(41.969728467, -87.679212641)",2022
12508676,JE405506,10/11/2021 1:25:00 AM,007XX N PULASKI RD,1480,CONCEALED CARRY LICENSE VIOLATION,OTHER,STREET,TRUE,FALSE,1112,11,37,23,15,1149588,1904743,2021,10/18/2021 3:41:20 PM,41.89453338,-87.72605727,"(41.894533379, -87.72605727)",2021
12829027,JF398256,09/15/2022 6:00:00 PM,049XX N BERNARD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1712,17,33,14,14,1152494,1932484,2022,01/03/2023 3:40:27 PM,41.97059998,-87.71464909,"(41.970599981, -87.714649091)",2022
13826423,JJ242740,05/05/2025 12:47:00 AM,074XX S EVANS AVE,281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,SIDEWALK,FALSE,FALSE,323,3,6,69,2,1182511,1855939,2025,03/14/2026 3:41:39 PM,41.75990871,-87.60665788,"(41.759908705, -87.606657882)",2025
13040984,JG221892,08/19/2022 4:00:00 PM,065XX S INGLESIDE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,TRUE,TRUE,321,3,20,42,7,,,2022,04/15/2023 3:40:20 PM,,,,2022
13297384,JG528599,12/04/2023 4:36:00 PM,002XX E 47TH ST,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,TRUE,FALSE,215,2,3,38,18,1178501,1873910,2023,12/12/2023 4:04:11 PM,41.80931493,-87.62080862,"(41.809314925, -87.620808615)",2023
12371398,JE237214,05/20/2021 11:00:00 PM,012XX S LAWNDALE AVE,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,1011,10,24,29,6,1151903,1894177,2021,05/27/2021 3:41:07 PM,41.86549387,-87.7178332,"(41.865493866, -87.717833196)",2021
26830,JF277233,06/12/2022 8:41:00 PM,064XX S KILBOURN AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,813,8,13,65,01A,1147490,1861300,2022,09/19/2022 3:41:05 PM,41.77536032,-87.7348743,"(41.775360317, -87.734874301)",2022
13213218,JG427419,09/17/2023 2:34:00 AM,002XX N WABASH AVE,454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,TRUE,FALSE,111,1,42,32,08B,1176773,1901888,2023,10/06/2023 3:42:06 PM,41.88612772,-87.6263017,"(41.886127716, -87.626301698)",2023
12994881,JG167216,01/26/2023 8:30:00 PM,080XX S KEELER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,TRUE,834,8,18,70,14,1149817,1851027,2023,08/19/2023 3:40:26 PM,41.74712472,-87.72660929,"(41.747124719, -87.726609294)",2023
12947460,JG110326,01/09/2023 8:50:00 PM,021XX N KENNETH AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,TRUE,FALSE,2522,25,36,20,15,1146370,1913902,2023,08/19/2023 3:40:26 PM,41.91972852,-87.73764256,"(41.919728524, -87.737642555)",2023
12895804,JF478203,11/16/2022 6:00:00 PM,041XX N ELSTON AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1723,17,39,16,6,1150117,1927396,2022,01/03/2023 3:40:27 PM,41.95668492,-87.72352271,"(41.956684923, -87.723522711)",2022
13011564,JG187124,03/15/2023 7:40:00 PM,011XX N LAWNDALE AVE,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,TRUE,FALSE,1112,11,27,23,18,1151493,1907625,2023,08/19/2023 3:40:26 PM,41.90240466,-87.71898492,"(41.90240466, -87.718984915)",2023
12638087,JF168859,03/09/2022 11:15:00 PM,087XX S BURLEY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,FALSE,TRUE,424,4,10,46,08B,1199189,1847537,2022,01/03/2023 3:40:27 PM,41.73645017,-87.54581608,"(41.736450174, -87.545816084)",2022
13164684,JG369746,08/04/2023 7:47:00 PM,022XX W CARMEN AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,OTHER (SPECIFY),TRUE,FALSE,2031,20,40,4,18,1160532,1933786,2023,08/19/2023 3:40:26 PM,41.97400964,-87.68505648,"(41.974009641, -87.685056484)",2023
